
Processing writeweights.C...

Processing writeweights.C...
***********************************
*    Row   * Instance * MCTrack.f *
*      107 *       10 *    768.75 *
*      108 *        4 *    7.6875 *
*      109 *        5 *    7.6875 *
*      110 *        8 *    7.6875 *
*      111 *        8 *    7.6875 *
*      112 *        7 *    7.6875 *
*      113 *        7 *    7.6875 *
*      114 *        6 *    7.6875 *
*      115 *        7 *    7.6875 *
*      115 *        8 *    7.6875 *
*      116 *        7 *    7.6875 *
*      117 *        4 *    7.6875 *
*      117 *        5 *    7.6875 *
*      118 *        8 *    7.6875 *
*      119 *        8 *    7.6875 *
*      120 *        9 *    7.6875 *
*      121 *        5 *    7.6875 *
*      122 *        5 *    7.6875 *
*      122 *        6 *    7.6875 *
*      123 *        5 *    7.6875 *
*      124 *        8 *    7.6875 *
*      124 *        9 *    7.6875 *
*      125 *        5 *    7.6875 *
*      125 *        6 *    7.6875 *
*      126 *        7 *    7.6875 *
*      127 *        7 *    7.6875 *
*      127 *        8 *    7.6875 *
*      128 *        9 *    7.6875 *
*      128 *       10 *    7.6875 *
*      129 *        5 *    7.6875 *
*      130 *        8 *    7.6875 *
*      131 *        7 *    7.6875 *
*      132 *        7 *    7.6875 *
*      133 *        7 *    7.6875 *
*      134 *        8 *    7.6875 *
*      135 *        8 *    768.75 *
*      136 *        5 *    7.6875 *
*      136 *        6 *    7.6875 *
*      137 *        8 *    7.6875 *
*      138 *        5 *    7.6875 *
*      139 *        8 *    768.75 *
*      140 *        5 *    7.6875 *
*      140 *        6 *    7.6875 *
*      141 *        2 * 326.16000 *
*      142 *        5 *    7.6875 *
*      143 *        6 *    7.6875 *
*      143 *        7 *    7.6875 *
*      144 *       11 *    7.6875 *
*      145 *        7 *    7.6875 *
*      146 *        6 *    7.6875 *
*      147 *        5 *    7.6875 *
*      147 *        6 *    7.6875 *
*      148 *        5 *    7.6875 *
*      149 *        7 *    7.6875 *
*      150 *        6 *    7.6875 *
*      150 *        7 *    7.6875 *
*      151 *        5 *    7.6875 *
*      152 *        8 *    7.6875 *
*      153 *        8 *    7.6875 *
*      154 *        5 *    7.6875 *
*      155 *        5 *    7.6875 *
*      156 *        8 *    7.6875 *
*      157 *       12 *    7.6875 *
*      158 *        5 *    7.6875 *
*      159 *        9 *    7.6875 *
*      160 *        4 *    7.6875 *
*      161 *        5 *    7.6875 *
*      162 *       10 *    7.6875 *
*      163 *        5 *    7.6875 *
*      163 *        6 *    7.6875 *
*      164 *        7 *    7.6875 *
*      165 *        9 *    768.75 *
*      166 *        6 *    7.6875 *
*      167 *        5 *    7.6875 *
*      168 *        4 *    7.6875 *
*      169 *        6 *    7.6875 *
*      169 *        7 *    7.6875 *
*      170 *        7 *    768.75 *
*      171 *       11 *    7.6875 *
*      172 *        6 *    7.6875 *
*      173 *        5 *    7.6875 *
*      174 *        7 *    7.6875 *
*      175 *        6 *    7.6875 *
*      176 *        8 *    7.6875 *
*      176 *        9 *    7.6875 *
*      177 *        6 *    7.6875 *
*      178 *       10 *    7.6875 *
*      179 *        8 *    7.6875 *
*      179 *        9 *    7.6875 *
